Dateiname,Foliierung,Zweitfoliierung,Ort,place supplied,Datum,date supplied,weranwen,Briefnummer,Struktur,Dokumenttyp,Quellenkritische Anmerkungen,Bemerkung,folder,width,height,Fehler/Anmerkungen,Kontrolle Vollständigkeit,
Kasten_blau_44_2d_0044.jpg,,,,,,,,,Beilage,Beilage,lateinisch; Ausfertigung; Schreiber ?; Chronostichon,"latein. Chronostichon; kleinerer Zettel scheints ausgeschnitten, erwähnt im  Brief vom 27.06.",Kasten_blau_44_2d_0047,1702,2531,,"ein Chronostichon, habe es grob transkribiert, es wird im übernächsten Brief vom 27.06. erwähnt und müsste dort zugeordnet werden.  IP: Bemerkung entsprechend geändert // AS an Brief ab 0047 geordnet",
Kasten_blau_44_2d_0045.jpg,,,Wien,,1686.06.20,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0045,1702,2531,,,
Kasten_blau_44_2d_0046.jpg,,,,,,,,,Adresse,,,an JW,Kasten_blau_44_2d_0045,1708,2542,,,
Kasten_blau_44_2d_0047.jpg,,,Wien,,1686.06.27,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0047,1708,2530,,,
Kasten_blau_44_2d_0048.jpg,,,,,,,,,Adresse,,,an JW,Kasten_blau_44_2d_0047,1708,2542,,,
Kasten_blau_44_2d_0049.jpg,,,Wien,,1686.06.11,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_2d_0049,1692,2530,,AS In Transkribus eingespielt (28.11.),
Kasten_blau_44_3d_0001.jpg,,,,,,,,,Deckblatt,,,"Korrespondenz JW mit Kaiser und Kaiserin 1694/95. Es wurden nur die Briefe an Eleonora Magdalena von Pfalz-Neuburg erfasst, keine Drittbriefe.",,1904,2893,,,
Kasten_blau_44_3d_0002.jpg,1 r,,Düsseldorf,,1694.10.27,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit Unterschrift,Kasten_blau_44_3d_0002,1682,2533,,,
Kasten_blau_44_3d_0011.jpg,6 r,,,,,,,,Fortsetzung,,,weiter Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg Düsseldorf 1694.10.27,Kasten_blau_44_3d_0002,1738,2518,,,
Kasten_blau_44_3d_0003.jpg,1 v,,,,,,,,,,,,Kasten_blau_44_3d_0002,1724,2533,,,
Kasten_blau_44_3d_0004.jpg,2 r,,,,,,,,Beilage,Beilage,lateinisch; Abschrift; Schreiber; Auflistung,"lateinisch „Conditiones praecipuae et genericae, quibus Sac. Caesaream Maiestatem, Dnos. foederatos et Coronam Gallicae inter Pax iniri posse videtur“ in 20 Punkten",Kasten_blau_44_3d_0002,1872,2686,,,
Kasten_blau_44_3d_0005.jpg,2 v,,,,,,,,,,,,Kasten_blau_44_3d_0002,1870,2688,,,
Kasten_blau_44_3d_0006.jpg,3 r,,,,,,,,,,,,Kasten_blau_44_3d_0002,1870,2688,,,
Kasten_blau_44_3d_0007.jpg,3 v,,,,,,,,,,,,Kasten_blau_44_3d_0002,1870,2688,,,
Kasten_blau_44_3d_0008.jpg,4 r,,,,,,,,,,,,Kasten_blau_44_3d_0002,1870,2688,,,
Kasten_blau_44_3d_0009.jpg,4 v,,,,,,,,,,,,Kasten_blau_44_3d_0002,1870,2688,,,
Kasten_blau_44_3d_0010.jpg,,,,,,,,,,,,"Foliierung: wohl 5 r, aber Ecke ist eingerissen",Kasten_blau_44_3d_0002,1870,2688,,,
Kasten_blau_44_3d_0012.jpg,7 r,,Den Haag,,1695.07.01,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit Unterschrift,Kasten_blau_44_3d_0012,1738,2620,,,
Kasten_blau_44_3d_0013.jpg,,,,,,,,,,,,,Kasten_blau_44_3d_0012,1712,2580,,,
Kasten_blau_44_3d_0014.jpg,8 r,,,,,,,,,,,,Kasten_blau_44_3d_0012,1712,2620,,,
Kasten_blau_44_3d_0015.jpg,9 r,,Düsseldorf,,1695.08.24,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit Unterschrift,Kasten_blau_44_3d_0015,1712,2620,,,
Kasten_blau_44_3d_0016.jpg,,,,,,,,,,,,,Kasten_blau_44_3d_0015,1764,2580,,,
Kasten_blau_44_3d_0017.jpg,10 r,,,,,,,,,,,,Kasten_blau_44_3d_0015,1712,2620,,,
Kasten_blau_44_3d_0018.jpg,,,,,,,,,,,,,Kasten_blau_44_3d_0015,1764,2580,,,
Kasten_blau_44_3d_0019.jpg,11 r,,Bensberg,,1695.09.12,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit Unterschrift,Kasten_blau_44_3d_0020,1712,2620,,"AS in Transkribus eingespielt und Layout erledigt, Ordnername angepasst",
Kasten_blau_44_3d_0020.jpg,,,,,,,,,,,,,Kasten_blau_44_3d_0020,1712,2620,,,
Kasten_blau_44_3f_0001.jpg,,,,,,,,,Deckblatt,,,"""Bay. Geh. Staatsarchiv München K. bl. 44/3 f. Korrespondenz der Kaiserin Eleonore mit ihrem Bruder, Kurfürst Johann Wilhelm von der Pfalz. 1695""",,1840,2881,,,
Kasten_blau_44_3f_0002.jpg,,,,,,,,,Deckblatt,,,,,1738,2769,,,
Kasten_blau_44_3f_0003.jpg,,,,,,,,,Deckblatt,,,,,1780,2791,,,
Kasten_blau_44_3f_0004.jpg,,,Düsseldorf,,1695.01.07,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit UnterschriftDdorff (ab jetzt keine Rechtschreibvarianten von Düsseldorf verzeichnet),Kasten_blau_44_3f_0004,1796,2753,sehr schlechte Scanqualität,,
Kasten_blau_44_3f_0005.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0004,1780,2779,,,
Kasten_blau_44_3f_0006.jpg,,,Wien,,1695.01.12,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0006,1682,2501,,,
Kasten_blau_44_3f_0007.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0006,1700,2515,,,
Kasten_blau_44_3f_0008.jpg,,,Wien,,1695.01.19,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0008,1682,2479,,,
Kasten_blau_44_3f_0009.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0008,1700,2515,,,
Kasten_blau_44_3f_0010.jpg,,,Wien,,1695.01.25,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0010,1682,2479,,,
Kasten_blau_44_3f_0011.jpg,,,Wien,,1695.01.29,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0011,1682,2479,,,
Kasten_blau_44_3f_0012.jpg,,,Wien,,1695.03.02,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0012,1682,2479,,,
Kasten_blau_44_3f_0013.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0012,1700,2515,,,
Kasten_blau_44_3f_0014.jpg,,,Wien,,1695.03.06,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,Datierung: Monat unsicher,Kasten_blau_44_3f_0014,1682,2479,,,
Kasten_blau_44_3f_0015.jpg,,,Wien,,1695.03.30,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0015,1682,2479,,,
Kasten_blau_44_3f_0016.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0015,1686,2486,,,
Kasten_blau_44_3f_0017.jpg,,,Düsseldorf,,1695.04.09,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,"Abschrift ""ist also abgangen"" Düsseldorf",Kasten_blau_44_3f_0017,1744,2695,,,
Kasten_blau_44_3f_0018.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0017,1776,2746,,,
Kasten_blau_44_3f_0019.jpg,,,Düsseldorf,,1695.04.14,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Abschrift; Schreiber,"""Copia"" Abschrift",Kasten_blau_44_3f_0019,1866,2778,,,
Kasten_blau_44_3f_0020.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0019,1866,2778,,,
Kasten_blau_44_3f_0021.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0019,1866,2778,,,
Kasten_blau_44_3f_0022.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0019,1866,2778,,,
Kasten_blau_44_3f_0023.jpg,,,Düsseldorf,,1695.04.28,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,"vermutlich Konzept (obwohl keine Korrekturen), mit Unterschrift.",Kasten_blau_44_3f_0023,1796,2731,,,
Kasten_blau_44_3f_0024.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0023,1766,2704,,,
Kasten_blau_44_3f_0025.jpg,,,Laxenburg,,1695.04.30,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0025,1664,2528,,"bei diesem Brief hat die Kaiserin die seiten verwechselt, wie das PS sagt - sollen wir sie richtig anordnen?",
Kasten_blau_44_3f_0026.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0025,1664,2529,,,
Kasten_blau_44_3f_0027.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0025,1664,2529,,,
Kasten_blau_44_3f_0028.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0025,1664,2529,,,
Kasten_blau_44_3f_0029.jpg,,,Wien,,1695.04.16,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,"Datierung: die erste Ziffer sieht wie eine 3, aber mit Punkt darüber aus; die zweite ist im Vergleich zu anderen wohl eine 6, keien 0, daher: 16, nicht 30. Blatt links oben ""31. april 95"" (was ja wohl unwahrscheinlich ist).",Kasten_blau_44_3f_0029,1664,2529,,,
Kasten_blau_44_3f_0030.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0029,1664,2529,,,
Kasten_blau_44_3f_0031.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0029,1664,2529,,,
Kasten_blau_44_3f_0032.jpg,,,Düsseldorf,,1695.05.07,,Johann Wilhelm von Pfalz-Neuburg an Eleonora Magdalena von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Konzept; Schreiber,Konzept mit Unterschrift,Kasten_blau_44_3f_0032,1716,2715,,,
Kasten_blau_44_3f_0033.jpg,,,Laxenburg,,1695.05.21,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0033,1638,2461,,,
Kasten_blau_44_3f_0034.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0033,1638,2461,,,
Kasten_blau_44_3f_0035.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0033,1638,2461,,,
Kasten_blau_44_3f_0036.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0033,1638,2461,,,
Kasten_blau_44_3f_0037.jpg,,,Wien,,1695.03.26,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,"vorne Aktenvermerk 26. maij 95, aber Datierung dann mz",Kasten_blau_44_3f_0037,1638,2461,,,
Kasten_blau_44_3f_0038.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0037,1638,2461,,,
Kasten_blau_44_3f_0039.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0037,1638,2461,,,
Kasten_blau_44_3f_0040.jpg,,,o.O.,,o.D.,Ende 1694,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,Liegt zwischen 1695.05.26-1695.06.01,Kasten_blau_44_3f_0040,1638,2461,,,
Kasten_blau_44_3f_0041.jpg,,,,,,,,,Leerseite,,,"außer: ""Ad acta""",,1638,2461,,diese Seite würde ich weglassen,
Kasten_blau_44_3f_0042.jpg,,,Favorita,,1695.06.01,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,enthält Chiffre (2/3 einer Seite).,Kasten_blau_44_3f_0042,1670,2489,,,
Kasten_blau_44_3f_0043.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0042,1650,2479,,,
Kasten_blau_44_3f_0044.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0042,1650,2479,,,
Kasten_blau_44_3f_0045.jpg,,,o.O.,,o.D.,1694,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,enthält Chiffre (1 Zeile). Liegt zwischen 1695.06.01-1695.03.12,Kasten_blau_44_3f_0045,1670,2511,,,
Kasten_blau_44_3f_0046.jpg,,,Wien,,1695.03.12,,Eleonora Magdalena von Pfalz-Neuburg an Johann Wilhelm von Pfalz-Neuburg,,Briefanfang,Brief,deutsch; Ausfertigung; eigenhändig,,Kasten_blau_44_3f_0046,1650,2479,,,
Kasten_blau_44_3f_0047.jpg,,,,,,,,,,,,,Kasten_blau_44_3f_0046,1650,2479,,,
